SOURCE_KEY,AC_ACTUAL,AC_PREDICTED,PERF_RATIO,ABS_ERROR,TOTAL_ACTUAL,STATUS
bvBOhCH3iADSZry,498.13893373334054,549.1285187498496,0.9060708775910069,55.33888483016316,873237.550834546,✓ Normal
1BY6WEcLGh8j5v7,506.08751487951196,549.4362525401847,0.9203114864315529,52.17397482884164,886665.326068905,✓ Normal
ih0vzX44oOqAx2f,543.4225961943702,551.6199587683726,0.9872191668319716,22.43445549337525,948272.430359176,✓ Normal
ZoEaEvLYb1n2sOq,549.7135805742631,551.942530172383,0.9901693032767883,18.62768691548414,958700.484521515,✓ Normal
z9Y9gH1T5YWrNuG,548.6053134130486,551.6319493058562,0.9921956205203881,28.975397247629495,957316.27190577,✓ Normal
zBIq5rxdHJRwDNY,550.0682397154937,551.31600889961,0.9935838619856554,24.99237645865779,960419.146543252,✓ Normal
7JYdWkrLSPkdwr4,549.4598210290882,550.9945181914769,0.9959450757727897,20.473332344402255,959906.307337817,✓ Normal
sjndEbLyjtCKgGv,551.2423590546407,551.6319493058562,0.9969264304526522,20.601802118121878,961917.916550348,✓ Normal
YxYtjZvoooNbGkE,554.0343032069173,552.563288633796,0.9973605926230158,17.866663884663865,965127.75618645,✓ Normal
WRmjgnKYAwPKWDb,553.9080591898227,553.3370825243398,1.0002719479867435,30.85625278803744,962138.298812722,✓ Normal
rGa61gmuvPhdLxV,553.8085015034293,551.6319493058562,1.0004592324177193,27.749458100370088,966395.835123484,✓ Normal
zVJPv84UY57bAof,557.9816052677318,551.6319493058562,1.0012426940477124,25.659294933347276,973677.901192192,✓ Normal
pkci93gMrogZuBj,554.2493783053677,551.31600889961,1.0017675145225553,30.022949202220552,967719.414521172,✓ Normal
wCURE6d3bPkepu2,555.0266477684,551.6319493058562,1.0028603733916894,25.076513777575453,968521.500355858,✓ Normal
iCRJl6heRkivqQ3,559.3863112963161,551.31600889961,1.0052630314517275,21.312730938978085,976688.499523368,✓ Normal
uHbuxQJl8lW7ozc,559.2565930067818,551.31600889961,1.01191410470556,31.688352372312465,976462.011389841,✓ Normal
ZnxXDlPa8U1GXgE,560.5758693750906,551.9305327595914,1.0153205209000653,21.90997943408708,977644.316190158,✓ Normal
VHMLBKoKgIrUVDU,562.9358904645821,550.9945181914769,1.0167947786590354,24.869137453247415,983449.000641625,✓ Normal
3PZuoBAID5Wc2HD,565.3818128545331,553.3370825243398,1.0191399904905014,30.604998895071414,982068.208928324,✓ Normal
McdE0feGgRqW7Ca,562.2239015568223,551.6319493058562,1.0193053475093923,27.44802834612138,981080.708216655,✓ Normal
1IF53ai7Xc0U56Y,566.1032547219385,553.3370825243398,1.0258807554583127,26.74220896862703,983321.353452007,✓ Normal
adLQvlD726eNBSB,573.6440740716978,553.3370825243398,1.049342604323283,31.999452260261627,996419.756662539,✓ Normal
