machine_id,timestamp,operating_hours,load_pct,days_since_maintenance,maintenance_count,temperature_C,pressure_bar,vibration_mms,rotation_speed_rpm,voltage_V,current_A,oil_temp_C,power_output_MW,efficiency_pct
GEN_0005,2020-01-01 00:00:00,3629.5,47.42,195.1,1,551.74,167.26,1.584,2988.1,10619.4,545.91,64.94,82.83,85.63
GEN_0019,2020-01-01 01:00:00,1112.0,49.98,109.9,0,511.86,164.87,5.359,3055.9,10682.6,422.8,71.31,89.98,88.57
GEN_0001,2020-01-01 02:00:00,4502.5,48.89,335.0,2,543.43,161.06,2.49,2955.2,10621.9,464.57,77.23,73.54,83.07
GEN_0006,2020-01-01 03:00:00,2603.8,42.06,190.5,1,554.93,149.51,4.444,3063.6,11326.4,428.38,75.54,72.8,88.08
GEN_0017,2020-01-01 04:00:00,5238.8,84.98,142.8,2,561.37,150.55,5.012,2968.0,10992.2,585.92,75.44,147.81,86.04
GEN_0013,2020-01-01 05:00:00,3777.9,43.93,233.6,1,528.82,178.11,3.162,2932.3,10564.1,510.24,74.28,66.83,87.67
GEN_0006,2020-01-01 06:00:00,2700.7,94.44,177.1,1,611.56,146.84,9.725,3030.5,11014.9,567.66,96.62,172.99,73.28
GEN_0013,2020-01-01 07:00:00,3112.4,44.04,242.3,1,529.36,153.28,1.697,2944.9,11130.8,476.47,71.82,72.14,85.27
GEN_0020,2020-01-01 08:00:00,775.4,46.68,253.7,0,504.16,158.08,2.157,3103.0,10801.5,492.68,57.57,80.73,90.26
GEN_0012,2020-01-01 09:00:00,7991.1,85.14,12.0,3,579.62,181.96,3.711,2981.4,10792.2,623.43,91.02,138.67,84.62
GEN_0014,2020-01-01 10:00:00,1957.0,69.49,216.4,0,520.18,157.72,2.981,3045.7,11182.7,468.1,66.55,118.02,90.87
GEN_0007,2020-01-01 11:00:00,105.2,99.07,109.3,0,519.41,168.13,2.984,3063.7,11608.2,514.47,58.24,172.36,92.17
GEN_0014,2020-01-01 12:00:00,7159.1,80.77,36.3,3,545.59,163.18,3.466,2894.7,10852.1,522.85,76.37,127.05,85.12
GEN_0008,2020-01-01 13:00:00,7475.9,98.21,209.6,3,599.11,179.72,3.087,2881.6,10941.5,609.92,75.41,165.14,81.68
GEN_0002,2020-01-01 14:00:00,8483.6,41.88,306.1,4,556.17,163.27,4.39,2913.4,10745.4,553.28,83.71,54.28,83.99
GEN_0011,2020-01-01 15:00:00,6296.1,54.96,250.0,3,516.81,162.84,6.081,2943.6,10701.9,528.8,75.02,79.47,86.0
GEN_0012,2020-01-01 16:00:00,2964.6,49.12,202.3,1,534.57,166.2,1.224,2939.2,10992.4,547.19,69.25,79.32,91.8
