antecedents,consequents,support,confidence,lift,leverage,conviction
"oil_temp_C_High, vibration_mms_High","efficiency_pct_Low, temperature_C_High",0.10054545454545455,0.5628498727735369,2.8877558771030345,0.06572760330578512,1.8416806011218119
"efficiency_pct_Low, temperature_C_High","oil_temp_C_High, vibration_mms_High",0.10054545454545455,0.5158582089552238,2.887755877103034,0.06572760330578512,1.6965352951480115
"temperature_C_High, vibration_mms_High","efficiency_pct_Low, oil_temp_C_High",0.10054545454545455,0.5614213197969544,2.8237926464410146,0.06493892561983472,1.8267687289562295
"efficiency_pct_Low, oil_temp_C_High","temperature_C_High, vibration_mms_High",0.10054545454545455,0.5057155921353452,2.823792646441014,0.06493892561983472,1.6608031284164495
"efficiency_pct_Low, vibration_mms_High","oil_temp_C_High, temperature_C_High",0.10054545454545455,0.4775474956822108,2.666508859139248,0.06283867768595042,1.5712607062359132
"oil_temp_C_High, temperature_C_High","efficiency_pct_Low, vibration_mms_High",0.10054545454545455,0.5614213197969544,2.666508859139248,0.06283867768595042,1.8000294612794616
"oil_temp_C_High, vibration_mms_High, temperature_C_High",efficiency_pct_Low,0.10054545454545455,0.8417047184170473,2.5290226447930952,0.06078880991735538,4.214792832167835
efficiency_pct_Low,"oil_temp_C_High, vibration_mms_High, temperature_C_High",0.10054545454545455,0.3021032504780115,2.529022644793095,0.06078880991735538,1.2617130759651307
"oil_temp_C_High, vibration_mms_High",efficiency_pct_Low,0.14018181818181819,0.7847328244274809,2.357842411554846,0.08072838842975208,3.099319793681496
efficiency_pct_Low,"oil_temp_C_High, vibration_mms_High",0.14018181818181819,0.42119639442775203,2.357842411554846,0.08072838842975208,1.4190713887339654
efficiency_pct_Low,"temperature_C_High, vibration_mms_High",0.1390909090909091,0.41791860147500687,2.3335556427538457,0.07948619834710746,1.4102994752783586
"temperature_C_High, vibration_mms_High",efficiency_pct_Low,0.1390909090909091,0.7766497461928935,2.3335556427538457,0.07948619834710746,2.9871549586776873
vibration_mms_High,"efficiency_pct_Low, oil_temp_C_High, temperature_C_High",0.10054545454545455,0.3015267175572519,2.312966452670691,0.057075107438016526,1.2450531544957775
"efficiency_pct_Low, oil_temp_C_High, temperature_C_High",vibration_mms_High,0.10054545454545455,0.7712691771269177,2.312966452670691,0.057075107438016526,2.91410421286031
"oil_temp_C_Low, vibration_mms_Low",efficiency_pct_High,0.138,0.7422982885085575,2.2254786518381393,0.07599086776859505,2.586147145075039
efficiency_pct_High,"oil_temp_C_Low, vibration_mms_Low",0.138,0.4137367130008177,2.2254786518381393,0.07599086776859505,1.3886097375427922
efficiency_pct_High,"temperature_C_Low, vibration_mms_Low",0.13536363636363635,0.40583265194875984,2.2001770189434984,0.07383966115702478,1.372585446205171
"temperature_C_Low, vibration_mms_Low",efficiency_pct_High,0.13536363636363635,0.7338590438639723,2.2001770189434984,0.07383966115702478,2.5041412457912444
"oil_temp_C_High, temperature_C_High",efficiency_pct_Low,0.13036363636363638,0.7279187817258884,2.187136465169291,0.07075892561983474,2.452142130257803
efficiency_pct_Low,"oil_temp_C_High, temperature_C_High",0.13036363636363638,0.3916962578530457,2.187136465169291,0.07075892561983474,1.3495052455402703
oil_temp_C_High,"efficiency_pct_Low, temperature_C_High, vibration_mms_High",0.10054545454545455,0.3011982570806101,2.165477665285432,0.05411438016528926,1.2319790264295332
"efficiency_pct_Low, temperature_C_High, vibration_mms_High",oil_temp_C_High,0.10054545454545455,0.722875816993464,2.1654776652854317,0.05411438016528926,2.4039108061749572
vibration_mms_Low,"temperature_C_Low, efficiency_pct_High",0.13536363636363635,0.40616475722858697,2.1573212600262948,0.07261747107438014,1.366923372447488
"temperature_C_Low, efficiency_pct_High",vibration_mms_Low,0.13536363636363635,0.7189763399323996,2.1573212600262943,0.07261747107438014,2.3724951577631974
temperature_C_High,"efficiency_pct_Low, oil_temp_C_High, vibration_mms_High",0.10054545454545455,0.3016089446413962,2.1515553768192985,0.053813933884297525,1.2311414575272444
"efficiency_pct_Low, oil_temp_C_High, vibration_mms_High",temperature_C_High,0.10054545454545455,0.7172503242542153,2.1515553768192985,0.053813933884297525,2.3576909924937453
"oil_temp_C_Low, efficiency_pct_High",vibration_mms_Low,0.138,0.7160377358490567,2.1485038446098264,0.07376925619834712,2.3479432195711274
vibration_mms_Low,"oil_temp_C_Low, efficiency_pct_High",0.138,0.41407528641571195,2.1485038446098264,0.07376925619834712,1.3777755205688167
vibration_mms_High,"efficiency_pct_Low, temperature_C_High",0.1390909090909091,0.4171210468920393,2.1400799980468435,0.07409758677685951,1.3812317373926355
"efficiency_pct_Low, temperature_C_High",vibration_mms_High,0.1390909090909091,0.7136194029850746,2.1400799980468435,0.07409758677685951,2.327481196328102
vibration_mms_High,"efficiency_pct_Low, oil_temp_C_High",0.14018181818181819,0.42039258451472195,2.1144574438326207,0.0738849917355372,1.3822835884717353
"efficiency_pct_Low, oil_temp_C_High",vibration_mms_High,0.14018181818181819,0.7050754458161866,2.1144574438326207,0.0738849917355372,2.260054122621565
"temperature_C_Low, oil_temp_C_Low",efficiency_pct_High,0.11772727272727272,0.6966110812264658,2.0885041955549535,0.061358090909090904,2.1967003546099284
efficiency_pct_High,"temperature_C_Low, oil_temp_C_Low",0.11772727272727272,0.3529572090487871,2.088504195554953,0.061358090909090904,1.284304549283909
"oil_temp_C_High, vibration_mms_High",temperature_C_High,0.11945454545454545,0.6687022900763357,2.005924513455057,0.05990367768595041,2.0121973188102213
temperature_C_High,"oil_temp_C_High, vibration_mms_High",0.11945454545454545,0.3583310608126533,2.0059245134550565,0.05990367768595041,1.2800426921145152
"efficiency_pct_Low, temperature_C_High",oil_temp_C_High,0.13036363636363638,0.6688432835820896,2.003615500926739,0.06529943801652893,2.011681434058899
oil_temp_C_High,"efficiency_pct_Low, temperature_C_High",0.13036363636363638,0.3905228758169935,2.003615500926739,0.06529943801652893,1.3209534486960761
vibration_mms_High,"temperature_C_High, oil_temp_C_High",0.11945454545454545,0.35823336968375136,2.000287851026023,0.05973586776859505,1.2791395690121266
"temperature_C_High, oil_temp_C_High",vibration_mms_High,0.11945454545454545,0.667005076142132,2.000287851026023,0.05973586776859505,2.001668514412417
oil_temp_C_High,"temperature_C_High, vibration_mms_High",0.11945454545454545,0.35784313725490197,1.998108888225341,0.0596707438016529,1.2783622484385844
"temperature_C_High, vibration_mms_High",oil_temp_C_High,0.11945454545454545,0.667005076142132,1.998108888225341,0.0596707438016529,2.000576496674058
"efficiency_pct_Low, vibration_mms_High",oil_temp_C_High,0.14018181818181819,0.6658031088082903,1.9945082235542466,0.06989791735537192,1.993381254404511
oil_temp_C_High,"efficiency_pct_Low, vibration_mms_High",0.14018181818181819,0.4199346405228759,1.9945082235542464,0.06989791735537192,1.3609751600512165
vibration_mms_Low,efficiency_pct_High,0.22154545454545455,0.6647572285870158,1.9930034108632255,0.11038385123966943,1.9879758857903689
efficiency_pct_High,vibration_mms_Low,0.22154545454545455,0.6642136822022349,1.993003410863225,0.11038385123966943,1.9855701003541908
"efficiency_pct_Low, vibration_mms_High",temperature_C_High,0.1390909090909091,0.6606217616580312,1.9816851317802955,0.06890271074380167,1.9642873004857746
temperature_C_High,"efficiency_pct_Low, vibration_mms_High",0.1390909090909091,0.4172347968366512,1.981685131780295,0.06890271074380167,1.354670013187561
"efficiency_pct_Low, oil_temp_C_High",temperature_C_High,0.13036363636363638,0.6556927297668039,1.966899380265842,0.06408488429752067,1.9361669684896783
temperature_C_High,"efficiency_pct_Low, oil_temp_C_High",0.13036363636363638,0.3910553586037633,1.9668993802658419,0.06408488429752067,1.3156890852094614
vibration_mms_Low,"temperature_C_Low, oil_temp_C_Low",0.11018181818181819,0.33060556464811786,1.956245944663419,0.05385872727272727,1.2414205378973104
"temperature_C_Low, oil_temp_C_Low",vibration_mms_Low,0.11018181818181819,0.6519634211941904,1.956245944663419,0.05385872727272727,1.915681607418856
vibration_mms_High,efficiency_pct_Low,0.21054545454545454,0.6314067611777535,1.8971522460954082,0.09956571900826447,1.8100761161915007
efficiency_pct_Low,vibration_mms_High,0.21054545454545454,0.6326140398798142,1.897152246095408,0.09956571900826447,1.814292125718148
oil_temp_C_Low,"temperature_C_Low, efficiency_pct_High",0.11772727272727272,0.3534388646288209,1.8772706474732157,0.0550153388429752,1.2554532407229746
"temperature_C_Low, efficiency_pct_High",oil_temp_C_Low,0.11772727272727272,0.6253017865765329,1.8772706474732155,0.0550153388429752,1.7798566073102147
"vibration_mms_Low, efficiency_pct_High",oil_temp_C_Low,0.138,0.6228970045137465,1.8700510506689987,0.06420522314049587,1.768506479374815
oil_temp_C_Low,"vibration_mms_Low, efficiency_pct_High",0.138,0.4143013100436681,1.8700510506689985,0.06420522314049587,1.3291041260696435
"vibration_mms_Low, efficiency_pct_High",temperature_C_Low,0.13536363636363635,0.6109971276159212,1.833324714614057,0.06152857851239668,1.7139392021480628
temperature_C_Low,"vibration_mms_Low, efficiency_pct_High",0.13536363636363635,0.40616475722858697,1.833324714614057,0.06152857851239668,1.3108931390153253
"oil_temp_C_Low, efficiency_pct_High",temperature_C_Low,0.11772727272727272,0.6108490566037735,1.83288042079692,0.05349652892561983,1.7132870523415975
temperature_C_Low,"oil_temp_C_Low, efficiency_pct_High",0.11772727272727272,0.3532460447354064,1.83288042079692,0.05349652892561983,1.2481914037038457
"temperature_C_Low, vibration_mms_Low",oil_temp_C_Low,0.11018181818181819,0.5973385904386397,1.7933200040461343,0.04874168595041323,1.6562528096138864
oil_temp_C_Low,"temperature_C_Low, vibration_mms_Low",0.11018181818181819,0.33078602620087333,1.7933200040461343,0.04874168595041323,1.2186617232685748
oil_temp_C_High,efficiency_pct_Low,0.1988181818181818,0.5955882352941178,1.7895303436862322,0.08771742148760332,1.649758677685951
efficiency_pct_Low,oil_temp_C_High,0.1988181818181818,0.5973777656378039,1.7895303436862318,0.08771742148760332,1.6546076230418159
temperature_C_Low,"oil_temp_C_Low, vibration_mms_Low",0.11018181818181819,0.33060556464811786,1.7783184406500228,0.048223388429752066,1.2161602578350745
"oil_temp_C_Low, vibration_mms_Low",temperature_C_Low,0.11018181818181819,0.5926650366748166,1.7783184406500225,0.048223388429752066,1.636803448652188
temperature_C_High,efficiency_pct_Low,0.19490909090909092,0.5846741205344969,1.7567373192787397,0.08395961157024795,1.6064055989971946
efficiency_pct_Low,temperature_C_High,0.19490909090909092,0.5856323408904671,1.7567373192787397,0.08395961157024795,1.608804039072332
oil_temp_C_Low,efficiency_pct_High,0.19272727272727272,0.5786026200873362,1.7347039577434447,0.08162631404958677,1.5815346208195946
efficiency_pct_High,oil_temp_C_Low,0.19272727272727272,0.5778141182883619,1.7347039577434447,0.08162631404958677,1.579657491636833
temperature_C_Low,efficiency_pct_High,0.18827272727272729,0.5649208947081288,1.693684884652335,0.07711112396694217,1.5318008549444286
efficiency_pct_High,temperature_C_Low,0.18827272727272729,0.5644589806486782,1.693684884652335,0.07711112396694217,1.5308024803731939
oil_temp_C_Low,vibration_mms_Low,0.1859090909090909,0.5581331877729258,1.6747040549651346,0.07489897520661157,1.508887416474816
vibration_mms_Low,oil_temp_C_Low,0.1859090909090909,0.5578286961265685,1.6747040549651346,0.07489897520661157,1.5082595479782401
vibration_mms_Low,temperature_C_Low,0.18445454545454545,0.5534642662302237,1.6606947431894328,0.0733838347107438,1.4931106791803188
temperature_C_Low,vibration_mms_Low,0.18445454545454545,0.5534642662302237,1.6606947431894328,0.0733838347107438,1.4931106791803188
vibration_mms_High,temperature_C_High,0.17909090909090908,0.5370774263904035,1.6110858168242264,0.06792928925619834,1.4400601777492237
temperature_C_High,vibration_mms_High,0.17909090909090908,0.5372238887373875,1.6110858168242264,0.06792928925619834,1.4403194942947446
temperature_C_High,oil_temp_C_High,0.17909090909090908,0.5372238887373875,1.6093308213810629,0.06780806611570248,1.4395337226120961
oil_temp_C_High,temperature_C_High,0.17909090909090908,0.5364923747276689,1.6093308213810629,0.06780806611570248,1.438242495459887
oil_temp_C_High,vibration_mms_High,0.17863636363636365,0.5351307189542485,1.604808590102708,0.06732317355371903,1.433834158811312
vibration_mms_High,oil_temp_C_High,0.17863636363636365,0.5357142857142857,1.6048085901027078,0.06732317355371903,1.434853146853147
oil_temp_C_Low,temperature_C_Low,0.169,0.5073689956331877,1.5223837839511907,0.057989884297520666,1.353400956937799
temperature_C_Low,oil_temp_C_Low,0.169,0.5070921985815603,1.5223837839511907,0.057989884297520666,1.3530098103335513
efficiency_pct_Mid,vibration_mms_Mid,0.14754545454545454,0.44223433242506816,1.3269442598679078,0.03635355371900825,1.1953537327352668
