,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
operating_hours,0.4152,-0.0597,0.3088,-0.0018,0.0317,0.1616,-0.2917,-0.055,-0.0742
load_pct,0.0824,0.5823,-0.129,-0.0003,-0.0128,-0.0725,0.027,-0.0417,-0.0016
days_since_maintenance,-0.0086,-0.004,0.0121,0.983,0.1735,-0.0557,-0.0108,-0.0073,0.0099
maintenance_count,0.4097,-0.0622,0.3092,0.0007,0.0326,0.1689,-0.3153,-0.0569,-0.0885
temperature_C,0.3584,0.0468,-0.251,0.0054,0.0142,0.0492,-0.1416,0.6862,0.5429
pressure_bar,0.075,0.2503,0.5397,0.0063,0.1165,0.4142,0.6303,0.1688,0.0501
vibration_mms,0.3293,-0.1214,-0.402,0.0172,0.0091,0.0021,0.3833,0.1053,-0.4463
rotation_speed_rpm,-0.2115,0.0361,-0.2617,0.1349,-0.5219,0.7549,-0.1449,-0.0261,-0.036
voltage_V,-0.1923,0.0207,-0.259,-0.1226,0.8251,0.4112,-0.1622,-0.0366,-0.0394
current_A,0.227,0.4552,0.0204,0.0046,-0.0043,0.0005,-0.3397,-0.2003,-0.1977
oil_temp_C,0.3527,-0.1158,-0.2231,0.0001,0.0172,0.0933,0.2496,-0.6595,0.5507
power_output_MW,0.0046,0.5807,-0.1859,0.0024,-0.0176,-0.1049,0.0872,-0.0361,0.0159
efficiency_pct,-0.3909,0.1198,0.2368,-0.012,-0.0062,-0.0666,-0.1331,-0.0561,0.3802
