OrderNumber,CustomerID,ProductNr,StoreID,Date,StoreType,Price
23893756,69-695-442-229,I-163-2017,Store_2394,2018-08-28,Online Store,12.99
23893756,69-695-442-229,B-172-2005,Store_2394,2018-08-28,Online Store,58.99
23893756,69-695-442-229,W-181-2003,Store_2394,2018-08-28,Online Store,75.59
23893756,69-695-442-229,F-055-2017,Store_2394,2018-08-28,Online Store,111.99
23893756,69-695-442-229,F-289-2008,Store_2394,2018-08-28,Online Store,37.59
23893756,69-695-442-229,F-289-1990,Store_2394,2018-08-28,Online Store,47.99
23893756,69-695-442-229,F-007-1986,Store_2394,2018-08-28,Online Store,55.59
23893756,69-695-442-229,A-211-2010,Store_2394,2018-08-28,Online Store,34.59
23893756,69-695-442-229,G-208-1984,Store_2394,2018-08-28,Online Store,117.99
23893756,69-695-442-229,G-196-2010,Store_2394,2018-08-28,Online Store,42.59
23893756,69-695-442-229,I-166-1981,Store_2394,2018-08-28,Online Store,96.99
23893757,69-695-442-229,Q-184-2006,Store_2410,2018-03-28,Onsite Store,116.59
23893757,69-695-442-229,W-118-1980,Store_2410,2018-03-28,Onsite Store,101.99
23893757,69-695-442-229,A-004-1983,Store_2410,2018-03-28,Onsite Store,86.59
23893757,69-695-442-229,I-016-1998,Store_2410,2018-03-28,Onsite Store,87.59
23893757,69-695-442-229,V-163-1983,Store_2410,2018-03-28,Onsite Store,96.99
23893757,69-695-442-229,G-091-1998,Store_2410,2018-03-28,Onsite Store,46.99
23893757,69-695-442-229,Z-121-2010,Store_2410,2018-03-28,Onsite Store,89.59
23893757,69-695-442-229,I-214-2013,Store_2410,2018-03-28,Onsite Store,36.59
23893757,69-695-442-229,I-109-2013,Store_2410,2018-03-28,Onsite Store,60.99
23893757,69-695-442-229,J-202-1981,Store_2410,2018-03-28,Onsite Store,60.99
23893757,69-695-442-229,G-073-1981,Store_2410,2018-03-28,Onsite Store,94.59
23893757,69-695-442-229,F-109-2015,Store_2410,2018-03-28,Onsite Store,106.99
23893757,69-695-442-229,V-091-1995,Store_2410,2018-03-28,Onsite Store,80.59
23893757,69-695-442-229,C-064-2011,Store_2410,2018-03-28,Onsite Store,70.59
23893758,69-695-442-229,A-298-2012,Store_2380,2018-03-08,Online Store,99.59
23893759,69-695-442-229,Q-058-1987,Store_2448,2018-04-09,Onsite Store,57.59
23893759,69-695-442-229,N-151-2016,Store_2448,2018-04-09,Onsite Store,65.99
23893759,69-695-442-229,W-151-2004,Store_2448,2018-04-09,Onsite Store,67.99
23893760,69-695-442-229,G-067-1999,Store_2427,2018-04-11,Onsite Store,108.99
23893760,69-695-442-229,H-088-2017,Store_2427,2018-04-11,Onsite Store,54.99
23893760,69-695-442-229,W-067-1999,Store_2427,2018-04-11,Onsite Store,76.99
23893761,69-695-442-229,Z-163-2015,Store_2441,2018-01-18,Onsite Store,67.99
23893761,69-695-442-229,Q-082-1994,Store_2441,2018-01-18,Onsite Store,78.99
23893761,69-695-442-229,V-286-1998,Store_2441,2018-01-18,Onsite Store,85.99
23893761,69-695-442-229,J-097-1998,Store_2441,2018-01-18,Onsite Store,65.99
23893761,69-695-442-229,N-187-2006,Store_2441,2018-01-18,Onsite Store,59.99
23893761,69-695-442-229,V-088-1995,Store_2441,2018-01-18,Onsite Store,56.99
23893761,69-695-442-229,Q-109-1998,Store_2441,2018-01-18,Onsite Store,69.59
23893762,69-695-442-229,N-121-2010,Store_2393,2018-04-23,Online Store,49.59
23893762,69-695-442-229,I-214-1981,Store_2393,2018-04-23,Online Store,74.99
23893762,69-695-442-229,V-196-2012,Store_2393,2018-04-23,Online Store,94.99
23893762,69-695-442-229,B-058-2013,Store_2393,2018-04-23,Online Store,16.99
23893762,69-695-442-229,Z-298-1983,Store_2393,2018-04-23,Online Store,104.59
23893762,69-695-442-229,G-298-2003,Store_2393,2018-04-23,Online Store,95.99
23893762,69-695-442-229,A-055-1994,Store_2393,2018-04-23,Online Store,86.99
23893763,69-695-442-229,J-262-2016,Store_2440,2018-05-20,Onsite Store,97.59
23893763,69-695-442-229,W-244-1992,Store_2440,2018-05-20,Onsite Store,32.59
23893763,69-695-442-229,B-154-1989,Store_2440,2018-05-20,Onsite Store,58.59
23893763,69-695-442-229,F-160-2018,Store_2440,2018-05-20,Onsite Store,106.99
23893764,69-695-442-229,H-148-1984,Store_2372,2018-07-09,Online Store,61.59
23893764,69-695-442-229,C-181-2013,Store_2372,2018-07-09,Online Store,81.59
23893764,69-695-442-229,A-148-1997,Store_2372,2018-07-09,Online Store,28.59
23893764,69-695-442-229,I-064-1992,Store_2372,2018-07-09,Online Store,59.59
23893764,69-695-442-229,Q-010-2012,Store_2372,2018-07-09,Online Store,87.59
23893765,68-686-398-919,F-124-1993,Store_2446,2018-10-04,Onsite Store,78.59
23893766,68-686-398-919,Z-145-2008,Store_2459,2018-07-18,Onsite Store,50.59
23893766,68-686-398-919,A-016-2007,Store_2459,2018-07-18,Onsite Store,27.59
23893766,68-686-398-919,B-034-1998,Store_2459,2018-07-18,Onsite Store,58.59
23893766,68-686-398-919,N-148-2003,Store_2459,2018-07-18,Onsite Store,110.59
23893766,68-686-398-919,Z-289-1995,Store_2459,2018-07-18,Onsite Store,60.99
23893766,68-686-398-919,H-229-2013,Store_2459,2018-07-18,Onsite Store,90.99
23893766,68-686-398-919,B-058-2010,Store_2459,2018-07-18,Onsite Store,72.99
23893766,68-686-398-919,J-253-2017,Store_2459,2018-07-18,Onsite Store,42.59
23893766,68-686-398-919,N-073-2008,Store_2459,2018-07-18,Onsite Store,76.59
23893767,68-686-398-919,H-169-1997,Store_2368,2018-11-27,Online Store,96.99
