CustomerID,TotalPrice_per_Customer
10-105-877-665,2993.15
11-110-421-578,2982.52
11-112-218-520,2595.43
11-119-963-528,3674.64
13-130-232-359,3260.72
13-137-859-810,4255.36
13-139-268-634,2951.96
14-141-299-369,4459.56
15-153-294-823,3350.4900000000002
15-155-340-852,4757.32
15-156-331-220,2988.18
16-160-351-620,4062.9900000000002
16-161-146-904,3642.49
16-161-793-897,4199.18
16-162-436-498,3476.23
16-167-327-189,2746.98
16-169-152-220,4005.8
17-172-622-400,2986.75
17-172-829-911,3624.67
18-180-696-811,3571.07
18-185-477-906,3544.1
19-194-205-351,4475.55
19-194-793-422,3935.84
19-195-539-680,5093.84
19-197-381-689,4780.53
19-197-794-857,2849.7200000000003
19-198-517-341,3957.82
19-199-601-557,4041.79
20-208-442-545,3460.46
21-212-480-468,3821.62
21-213-300-612,3360.4900000000002
21-213-953-733,3589.4700000000003
21-219-791-186,3734.42
22-220-141-312,3552.07
22-222-175-878,3917.9900000000002
22-226-400-554,4209.8099999999995
23-230-669-404,3112.69
23-230-711-481,2628.8
23-231-165-436,3413.67
23-233-375-314,3477.52
23-235-894-215,3344.71
24-242-727-573,2449.66
24-245-506-925,3881.78
24-246-799-939,2829.94
25-250-129-102,3811.68
25-254-567-213,3783.4900000000002
25-257-304-581,3776.48
25-258-445-502,3612.69
26-261-284-762,4360.18
26-262-275-824,3820.64
26-264-473-858,2750.0
26-267-183-233,3546.4900000000002
26-268-687-261,3433.91
27-271-983-899,4915.25
27-279-209-629,4539.32
28-280-348-613,2544.19
28-285-776-186,4543.95
28-285-871-592,3947.0
28-288-283-457,4070.59
29-295-408-168,3684.63
29-295-428-469,2636.4
29-298-881-174,3432.31
30-300-182-641,3445.69
30-302-750-929,3532.29
30-303-191-696,3864.4300000000003
30-303-374-202,3600.25
30-308-992-614,2633.82
31-310-934-498,4122.78
31-315-872-319,3942.4700000000003
31-317-245-923,3155.91
31-317-798-319,3646.46
31-319-647-748,4279.36
33-339-853-120,3268.36
34-341-371-168,3595.3
34-342-222-811,3207.11
36-363-680-521,3238.87
36-365-740-782,4699.33
36-367-285-368,4099.02
37-370-753-852,2621.18
37-374-201-848,3042.92
37-376-602-393,3583.44
37-376-722-579,3809.2599999999998
38-380-588-730,3014.09
38-386-394-826,4324.19
38-386-863-998,3869.24
39-393-309-807,3962.39
39-393-623-110,4041.2400000000002
39-396-176-959,3119.93
39-397-713-297,3180.11
39-398-376-883,3356.69
40-406-835-872,3326.29
41-413-557-431,4167.01
41-419-774-490,3104.92
42-427-940-755,3191.7200000000003
43-433-247-200,3429.36
43-435-460-564,2545.0099999999998
44-447-853-498,3598.5
45-450-887-511,3192.33
45-459-998-134,4037.38
46-462-627-514,3836.65
46-463-371-677,3522.2599999999998
46-464-454-788,3843.62
46-465-266-915,4205.58
47-470-786-782,2822.41
47-471-930-309,3092.77
47-477-443-848,3737.26
48-484-318-274,3494.66
48-489-304-248,3606.29
49-494-454-362,3992.06
49-497-610-746,3706.86
49-499-892-266,3282.55
50-502-587-866,3120.09
50-503-271-385,2819.58
51-519-824-667,3183.78
54-540-143-192,4241.42
54-546-472-736,768.08
54-546-589-923,4052.2400000000002
55-550-360-867,3401.46
55-552-520-440,3495.29
55-553-802-466,3963.21
56-560-312-201,4313.76
56-561-871-770,3478.51
56-568-138-743,4282.22
56-568-440-237,3361.7
57-572-939-747,4567.8
57-574-843-659,2778.78
57-575-796-482,3340.91
59-590-148-600,3170.55
59-591-693-148,3001.97
59-594-164-957,3236.96
59-599-495-603,3018.7200000000003
62-621-403-937,3886.25
